{'_id': ObjectId('5b911c32a8c57019d15e945e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:23:13']}
{'_id': ObjectId('5b911c35a8c57019d15e9492'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:23:17']}
{'_id': ObjectId('5b911c39a8c57019d15e94c6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -92, 'TIME': ['09:23:20']}
{'_id': ObjectId('5b911c3ca8c57019d15e94fa'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -92, 'TIME': ['09:23:24']}
{'_id': ObjectId('5b911c40a8c57019d15e952e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -92, 'TIME': ['09:23:27']}
{'_id': ObjectId('5b911c43a8c57019d15e9562'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -92, 'TIME': ['09:23:31']}
{'_id': ObjectId('5b911c47a8c57019d15e9595'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -92, 'TIME': ['09:23:34']}
{'_id': ObjectId('5b911c4aa8c57019d15e95c9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -92, 'TIME': ['09:23:38']}
{'_id': ObjectId('5b911c4ea8c57019d15e95fd'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -92, 'TIME': ['09:23:42']}
{'_id': ObjectId('5b911c60a8c5701a36bfd19a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -75, 'TIME': ['09:23:59']}
{'_id': ObjectId('5b911c65a8c5701a36bfd1ce'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -75, 'TIME': ['09:24:04']}
{'_id': ObjectId('5b911c69a8c5701a36bfd202'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -75, 'TIME': ['09:24:08']}
{'_id': ObjectId('5b911c6ea8c5701a36bfd236'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -75, 'TIME': ['09:24:13']}
{'_id': ObjectId('5b911c87a8c5701a488cfdda'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -75, 'TIME': ['09:24:36']}
