{'_id': ObjectId('5be0b9e1fbc42b097900fb90'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -94, 'TIME': ['18:45:05'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be0b9e1fbc42b097900fb91'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -81, 'TIME': ['18:45:05'], 'DIST': 25.118864315095795}
{'_id': ObjectId('5be0b9e1fbc42b097900fb92'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -95, 'TIME': ['18:45:05'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0b9e1fbc42b097900fb93'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -93, 'TIME': ['18:45:05'], 'DIST': 100.0}
{'_id': ObjectId('5be0b9e1fbc42b097900fb94'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -90, 'TIME': ['18:45:05'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be0b9e1fbc42b097900fb95'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'dc:9f:db:5c:28:53', 'RSSI': -97, 'TIME': ['18:45:05'], 'DIST': 158.48931924611142}
{'_id': ObjectId('5be0b9e1fbc42b097900fb96'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'cc:06:77:e8:8f:18', 'RSSI': -95, 'TIME': ['18:45:05'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0b9e1fbc42b097900fb97'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c4:4d:5f:f4:53', 'RSSI': -78, 'TIME': ['18:45:05'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b9e1fbc42b097900fb98'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '2c:4d:54:73:e4:73', 'RSSI': -85, 'TIME': ['18:45:05'], 'DIST': 39.810717055349734}
{'_id': ObjectId('5be0b9e1fbc42b097900fb99'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -73, 'TIME': ['18:45:05'], 'DIST': 10.0}
