{'_id': ObjectId('5be0566efbc42b1464ccf50c'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -90, 'TIME': ['11:40:46'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be05671fbc42b1464ccf51d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -90, 'TIME': ['11:40:49'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be05675fbc42b1464ccf52e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -90, 'TIME': ['11:40:53'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be05678fbc42b1464ccf53f'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -90, 'TIME': ['11:40:56'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be0567bfbc42b1464ccf550'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -90, 'TIME': ['11:40:59'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be0567ffbc42b1464ccf561'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -90, 'TIME': ['11:41:03'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be05682fbc42b1464ccf572'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -90, 'TIME': ['11:41:06'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be05686fbc42b1464ccf583'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -90, 'TIME': ['11:41:09'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be05689fbc42b1464ccf594'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -90, 'TIME': ['11:41:13'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be0568cfbc42b1464ccf5a5'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -90, 'TIME': ['11:41:16'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be0568ffbc42b1464ccf5b6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -90, 'TIME': ['11:41:19'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be05693fbc42b1464ccf5c7'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -90, 'TIME': ['11:41:23'], 'DIST': 70.79457843841381}
